date,loan_count_forecast,loan_count_lower_ci,loan_count_upper_ci,default_rate_forecast,default_rate_lower_ci,default_rate_upper_ci
2019-01-01,22151.643880511976,5157.828487066356,39145.4592739576,0.2464623365202786,0.15873443427852862,0.3341902387620286
2019-02-01,21855.281717693968,4861.4663242483475,38849.09711113959,0.23738602615371535,0.14965812391196537,0.3251139283954653
2019-03-01,23757.361555517822,6763.546162072202,40751.176948963446,0.24171541920842865,0.15398751696667867,0.32944332145017863
2019-04-01,22367.35806000835,5373.542666562731,39361.17345345397,0.2529692227528918,0.16524132051114182,0.3406971249946418
2019-05-01,21961.43789783221,4967.622504386589,38955.253291277826,0.2579077519781856,0.17017984973643563,0.3456356542199356
2019-06-01,21852.859429807402,4859.044036361782,38846.67482325302,0.25454567922912547,0.1668177769873755,0.34227358147087544
2019-07-01,24113.548510875582,7119.733117429962,41107.3639043212,0.25087496254950725,0.16314706030775727,0.33860286479125723
2019-08-01,22805.77605348222,5811.960660036599,39799.591446927836,0.25054680029324905,0.16281889805149907,0.338274702534999
2019-09-01,21120.157442242697,4126.342048797076,38113.97283568831,0.2590713105555318,0.1713434083137818,0.34679921279728176
2019-10-01,24671.9234463878,7678.108052942178,41665.738839833415,0.26043528312996966,0.17270738088821969,0.34816318537171964
2019-11-01,22943.53560437905,5949.7202109334285,39937.35099782467,0.2586450817051533,0.17091717946340335,0.3463729839469033
2019-12-01,22240.37853160107,5246.5631381554485,39234.19392504669,0.24883551146549587,0.1611076092237459,0.33656341370724585
